order_id,customer_id,order_date,status
1,92,2025-09-15 12:36:18.121940,shipped
2,171,2026-01-22 15:50:16.696412,shipped
3,211,2025-10-06 08:00:49.347149,shipped
4,443,2026-03-14 09:54:39.595200,shipped
5,128,2025-02-11 12:05:14.193417,paid
6,404,2026-02-03 12:40:35.953573,shipped
7,196,2025-08-12 09:31:47.098271,cancelled
8,440,2024-08-28 18:05:48.044805,shipped
9,103,2025-12-05 11:07:08.409986,shipped
10,236,2025-07-25 07:21:34.861711,shipped
11,421,2026-06-05 13:50:05.520827,shipped
12,117,2025-07-21 19:24:18.338533,paid
13,338,2026-01-31 20:41:15.373188,paid
14,169,2024-10-30 22:23:33.117126,paid
15,36,2025-08-07 05:24:22.161543,returned
16,143,2025-04-27 04:53:59.726116,shipped
17,261,2025-03-18 17:57:01.355948,shipped
18,432,2026-04-12 19:40:23.343381,shipped
19,481,2025-11-03 01:38:49.905448,created
20,450,2025-03-05 08:29:06.588554,returned
21,92,2025-02-05 23:11:24.971180,shipped
22,136,2026-05-31 16:44:02.791425,created
23,306,2025-10-01 03:47:03.398324,shipped
24,374,2025-06-18 09:21:13.885297,shipped
25,224,2025-08-20 13:26:08.809354,shipped
26,262,2026-01-06 22:26:00.795976,paid
27,461,2025-10-23 19:36:12.525781,shipped
28,131,2024-09-28 07:38:08.667612,created
29,224,2025-03-16 06:25:09.461139,created
30,474,2024-12-29 02:02:56.969530,shipped
31,352,2025-10-18 16:15:21.437717,shipped
32,380,2026-05-08 12:58:04.056252,shipped
33,101,2024-12-31 15:02:46.879552,shipped
34,36,2024-08-04 15:29:39.601935,cancelled
35,472,2026-04-14 11:21:15.646486,shipped
36,161,2025-04-11 02:25:37.392470,shipped
37,64,2026-02-08 03:05:50.049828,shipped
38,154,2024-09-27 08:00:16.510438,shipped
39,342,2025-01-09 22:48:28.912791,shipped
40,207,2025-12-17 08:46:42.287538,shipped
41,284,2024-07-24 13:30:52.380798,paid
42,216,2025-07-19 01:51:50.847687,shipped
43,195,2026-01-20 08:19:19.836147,shipped
44,463,2025-07-17 05:00:18.589228,paid
45,292,2025-07-13 03:17:37.604380,shipped
46,281,2025-06-27 02:48:43.381365,shipped
47,156,2025-02-08 01:19:25.038575,paid
48,221,2025-10-25 10:39:54.554259,shipped
49,311,2025-02-25 11:57:18.229538,shipped
50,239,2024-09-04 16:01:35.129736,shipped
51,346,2024-09-14 14:38:51.526587,paid
52,243,2026-06-16 06:30:53.163884,shipped
53,492,2026-01-22 09:50:04.647775,shipped
54,87,2025-07-31 00:17:38.727435,shipped
55,146,2025-10-07 11:28:31.136448,shipped
56,325,2024-12-07 11:42:18.716462,shipped
57,48,2025-10-09 08:43:52.753890,shipped
58,385,2024-12-09 05:40:10.716025,paid
59,159,2025-11-19 04:34:48.827113,paid
60,102,2026-03-08 22:51:52.485660,paid
61,24,2024-12-03 16:30:28.307599,paid
62,244,2026-03-03 21:36:34.041304,shipped
63,394,2026-04-09 08:13:54.321639,paid
64,213,2025-12-30 01:49:00.504313,cancelled
65,295,2025-05-20 10:45:54.348176,paid
66,357,2026-02-23 03:19:50.681403,shipped
67,205,2024-08-28 04:46:02.731659,paid
