payment_id,order_id,payment_method,payment_status,paid_at,amount
1,1,bank_transfer,paid,2025-09-15 13:02:18.121940,31663.83
2,2,bank_transfer,paid,2026-01-22 18:39:16.696412,12062.68
3,3,cash_on_delivery,paid,2025-10-06 08:26:49.347149,66245.25
4,4,cash_on_delivery,paid,2026-03-14 11:19:39.595200,8458.08
5,5,card,paid,2025-02-11 14:47:14.193417,11360.78
6,6,cash_on_delivery,paid,2026-02-03 15:35:35.953573,7606.48
7,7,paypal,failed,,0.0
8,8,card,paid,2024-08-28 20:59:48.044805,6937.72
9,9,bank_transfer,paid,2025-12-05 12:39:08.409986,27541.16
10,10,card,paid,2025-07-25 10:06:34.861711,24444.78
11,11,paypal,paid,2026-06-05 16:05:05.520827,12534.75
12,12,bank_transfer,paid,2025-07-21 22:03:18.338533,12433.98
13,13,cash_on_delivery,paid,2026-01-31 22:54:15.373188,33829.96
14,14,cash_on_delivery,paid,2024-10-30 23:35:33.117126,17134.96
15,15,cash_on_delivery,paid,2025-08-07 05:36:22.161543,4696.74
16,16,bank_transfer,paid,2025-04-27 06:28:59.726116,414.99
17,17,card,paid,2025-03-18 18:24:01.355948,1299.57
18,18,card,paid,2026-04-12 21:00:23.343381,42881.34
19,19,paypal,paid,2025-11-03 02:57:49.905448,19915.51
20,20,card,paid,2025-03-05 08:43:06.588554,15554.42
21,21,bank_transfer,paid,2025-02-05 23:51:24.971180,27984.7
22,22,cash_on_delivery,paid,2026-05-31 19:30:02.791425,37193.02
23,23,bank_transfer,paid,2025-10-01 04:00:03.398324,31503.96
24,24,paypal,paid,2025-06-18 11:04:13.885297,26100.96
25,25,cash_on_delivery,paid,2025-08-20 13:56:08.809354,4059.31
26,26,paypal,paid,2026-01-07 01:07:00.795976,13149.68
27,27,card,paid,2025-10-23 21:53:12.525781,11948.49
28,28,paypal,paid,2024-09-28 07:48:08.667612,4811.23
29,29,paypal,paid,2025-03-16 08:21:09.461139,10406.22
30,30,card,paid,2024-12-29 04:20:56.969530,5047.63
31,31,bank_transfer,paid,2025-10-18 16:52:21.437717,29365.73
